,index,000905.XSHG,000300.XSHG
167,2021-06-16,6566.29,5080.49
168,2021-06-17,6616.17,5101.89
169,2021-06-18,6657.76,5102.47
170,2021-06-21,6707.18,5090.39
171,2021-06-22,6739.79,5122.16
172,2021-06-23,6789.95,5147.39
173,2021-06-24,6754.87,5155.97
174,2021-06-25,6813.41,5239.97
175,2021-06-28,6828.52,5251.76
176,2021-06-29,6765.42,5190.54
177,2021-06-30,6808.18,5224.04
178,2021-07-01,6716.67,5229.66
179,2021-07-02,6658.05,5081.12
180,2021-07-05,6711.01,5085.79
181,2021-07-06,6709.5,5083.1
182,2021-07-07,6764.13,5140.49
183,2021-07-08,6748.65,5088.26
184,2021-07-09,6804.54,5069.44
185,2021-07-12,6904.3818,5132.7088
