代码,简称,日期,复权净值(元),
000042.OF,财通中证100指数增强A,2020-10-09,2.294,
000042.OF,财通中证100指数增强A,2020-10-12,2.3508,
000042.OF,财通中证100指数增强A,2020-10-13,2.3572,
000042.OF,财通中证100指数增强A,2020-10-14,2.3397,
000042.OF,财通中证100指数增强A,2020-10-15,2.3399,
000042.OF,财通中证100指数增强A,2020-10-16,2.3415,
000042.OF,财通中证100指数增强A,2020-10-19,2.3236,
000042.OF,财通中证100指数增强A,2020-10-20,2.3429,
000042.OF,财通中证100指数增强A,2020-10-21,2.3385,
000042.OF,财通中证100指数增强A,2020-10-22,2.3375,
000042.OF,财通中证100指数增强A,2020-10-23,2.3119,
000042.OF,财通中证100指数增强A,2020-10-26,2.3065,
000042.OF,财通中证100指数增强A,2020-10-27,2.3053,
000042.OF,财通中证100指数增强A,2020-10-28,2.3257,
000042.OF,财通中证100指数增强A,2020-10-29,2.3527,
000042.OF,财通中证100指数增强A,2020-10-30,2.3097,
000042.OF,财通中证100指数增强A,2020-11-02,2.3255,
000042.OF,财通中证100指数增强A,2020-11-03,2.3519,
000042.OF,财通中证100指数增强A,2020-11-04,2.3735,
000042.OF,财通中证100指数增强A,2020-11-05,2.4193,
000042.OF,财通中证100指数增强A,2020-11-06,2.4248,
000042.OF,财通中证100指数增强A,2020-11-09,2.4634,
000042.OF,财通中证100指数增强A,2020-11-10,2.4431,
000042.OF,财通中证100指数增强A,2020-11-11,2.4247,
000042.OF,财通中证100指数增强A,2020-11-12,2.4362,
000042.OF,财通中证100指数增强A,2020-11-13,2.4165,
000042.OF,财通中证100指数增强A,2020-11-16,2.4415,
000042.OF,财通中证100指数增强A,2020-11-17,2.4448,
000042.OF,财通中证100指数增强A,2020-11-18,2.4573,
000042.OF,财通中证100指数增强A,2020-11-19,2.4624,
000042.OF,财通中证100指数增强A,2020-11-20,2.4779,
000042.OF,财通中证100指数增强A,2020-11-23,2.5125,
000042.OF,财通中证100指数增强A,2020-11-24,2.5039,
000042.OF,财通中证100指数增强A,2020-11-25,2.4761,
000042.OF,财通中证100指数增强A,2020-11-26,2.4731,
000042.OF,财通中证100指数增强A,2020-11-27,2.5008,
000042.OF,财通中证100指数增强A,2020-11-30,2.4975,
000042.OF,财通中证100指数增强A,2020-12-01,2.5387,
000042.OF,财通中证100指数增强A,2020-12-02,2.5414,
000042.OF,财通中证100指数增强A,2020-12-03,2.523,
000042.OF,财通中证100指数增强A,2020-12-04,2.5191,
000042.OF,财通中证100指数增强A,2020-12-07,2.4941,
000042.OF,财通中证100指数增强A,2020-12-08,2.4917,
000042.OF,财通中证100指数增强A,2020-12-09,2.4511,
000042.OF,财通中证100指数增强A,2020-12-10,2.4426,
000042.OF,财通中证100指数增强A,2020-12-11,2.42,
000042.OF,财通中证100指数增强A,2020-12-14,2.4318,
000042.OF,财通中证100指数增强A,2020-12-15,2.446,
000042.OF,财通中证100指数增强A,2020-12-16,2.4448,
000042.OF,财通中证100指数增强A,2020-12-17,2.4739,
000042.OF,财通中证100指数增强A,2020-12-18,2.4788,
000042.OF,财通中证100指数增强A,2020-12-21,2.5006,
000042.OF,财通中证100指数增强A,2020-12-22,2.4445,
000042.OF,财通中证100指数增强A,2020-12-23,2.4724,
000042.OF,财通中证100指数增强A,2020-12-24,2.4601,
000042.OF,财通中证100指数增强A,2020-12-25,2.4918,
000042.OF,财通中证100指数增强A,2020-12-28,2.5064,
000042.OF,财通中证100指数增强A,2020-12-29,2.4857,
000042.OF,财通中证100指数增强A,2020-12-30,2.5221,
000042.OF,财通中证100指数增强A,2020-12-31,2.5701,
000042.OF,财通中证100指数增强A,2021-01-04,2.5953,
000042.OF,财通中证100指数增强A,2021-01-05,2.6272,
000042.OF,财通中证100指数增强A,2021-01-06,2.6428,
000042.OF,财通中证100指数增强A,2021-01-07,2.691,
000042.OF,财通中证100指数增强A,2021-01-08,2.7127,
000042.OF,财通中证100指数增强A,2021-01-11,2.6952,
000042.OF,财通中证100指数增强A,2021-01-12,2.7546,
000042.OF,财通中证100指数增强A,2021-01-13,2.7596,
000042.OF,财通中证100指数增强A,2021-01-14,2.7143,
000042.OF,财通中证100指数增强A,2021-01-15,2.6982,
000042.OF,财通中证100指数增强A,2021-01-18,2.734,
000042.OF,财通中证100指数增强A,2021-01-19,2.6992,
000042.OF,财通中证100指数增强A,2021-01-20,2.7178,
000042.OF,财通中证100指数增强A,2021-01-21,2.7587,
000042.OF,财通中证100指数增强A,2021-01-22,2.7609,
000042.OF,财通中证100指数增强A,2021-01-25,2.768,
000042.OF,财通中证100指数增强A,2021-01-26,2.7267,
000042.OF,财通中证100指数增强A,2021-01-27,2.7342,
000042.OF,财通中证100指数增强A,2021-01-28,2.6559,
000042.OF,财通中证100指数增强A,2021-01-29,2.6488,
000042.OF,财通中证100指数增强A,2021-02-01,2.6819,
000042.OF,财通中证100指数增强A,2021-02-02,2.7157,
000042.OF,财通中证100指数增强A,2021-02-03,2.7083,
000042.OF,财通中证100指数增强A,2021-02-04,2.6924,
000042.OF,财通中证100指数增强A,2021-02-05,2.6777,
000042.OF,财通中证100指数增强A,2021-02-08,2.7265,
000042.OF,财通中证100指数增强A,2021-02-09,2.7893,
000042.OF,财通中证100指数增强A,2021-02-10,2.8295,
000042.OF,财通中证100指数增强A,2021-02-18,2.8365,
000042.OF,财通中证100指数增强A,2021-02-19,2.8523,
000042.OF,财通中证100指数增强A,2021-02-22,2.798,
000042.OF,财通中证100指数增强A,2021-02-23,2.7873,
000042.OF,财通中证100指数增强A,2021-02-24,2.728,
000042.OF,财通中证100指数增强A,2021-02-25,2.7429,
000042.OF,财通中证100指数增强A,2021-02-26,2.6854,
000042.OF,财通中证100指数增强A,2021-03-01,2.7372,
000042.OF,财通中证100指数增强A,2021-03-02,2.7061,
000042.OF,财通中证100指数增强A,2021-03-03,2.7609,
000042.OF,财通中证100指数增强A,2021-03-04,2.6834,
000042.OF,财通中证100指数增强A,2021-03-05,2.6705,
000042.OF,财通中证100指数增强A,2021-03-08,2.6042,
000042.OF,财通中证100指数增强A,2021-03-09,2.5567,
000042.OF,财通中证100指数增强A,2021-03-10,2.5561,
000042.OF,财通中证100指数增强A,2021-03-11,2.6166,
000042.OF,财通中证100指数增强A,2021-03-12,2.6396,
000042.OF,财通中证100指数增强A,2021-03-15,2.6004,
000042.OF,财通中证100指数增强A,2021-03-16,2.6218,
000042.OF,财通中证100指数增强A,2021-03-17,2.6327,
000042.OF,财通中证100指数增强A,2021-03-18,2.6544,
000042.OF,财通中证100指数增强A,2021-03-19,2.5999,
000042.OF,财通中证100指数增强A,2021-03-22,2.6418,
000042.OF,财通中证100指数增强A,2021-03-23,2.6142,
000042.OF,财通中证100指数增强A,2021-03-24,2.5649,
000042.OF,财通中证100指数增强A,2021-03-25,2.5686,
000042.OF,财通中证100指数增强A,2021-03-26,2.6356,
000042.OF,财通中证100指数增强A,2021-03-29,2.6439,
000042.OF,财通中证100指数增强A,2021-03-30,2.6641,
000042.OF,财通中证100指数增强A,2021-03-31,2.653,
000042.OF,财通中证100指数增强A,2021-04-01,2.6788,
000042.OF,财通中证100指数增强A,2021-04-02,2.6866,
000042.OF,财通中证100指数增强A,2021-04-06,2.6906,
000042.OF,财通中证100指数增强A,2021-04-07,2.6894,
000042.OF,财通中证100指数增强A,2021-04-08,2.6836,
000042.OF,财通中证100指数增强A,2021-04-09,2.6651,
000042.OF,财通中证100指数增强A,2021-04-12,2.6171,
000042.OF,财通中证100指数增强A,2021-04-13,2.6131,
000042.OF,财通中证100指数增强A,2021-04-14,2.6355,
000042.OF,财通中证100指数增强A,2021-04-15,2.6221,
000042.OF,财通中证100指数增强A,2021-04-16,2.6446,
000042.OF,财通中证100指数增强A,2021-04-19,2.7027,
000042.OF,财通中证100指数增强A,2021-04-20,2.7054,
000042.OF,财通中证100指数增强A,2021-04-21,2.7136,
000042.OF,财通中证100指数增强A,2021-04-22,2.7099,
000042.OF,财通中证100指数增强A,2021-04-23,2.7216,
000042.OF,财通中证100指数增强A,2021-04-26,2.6986,
000042.OF,财通中证100指数增强A,2021-04-27,2.696,
000042.OF,财通中证100指数增强A,2021-04-28,2.7096,
000042.OF,财通中证100指数增强A,2021-04-29,2.7204,
000042.OF,财通中证100指数增强A,2021-04-30,2.6916,
000042.OF,财通中证100指数增强A,2021-05-06,2.6742,
000042.OF,财通中证100指数增强A,2021-05-07,2.651,
000042.OF,财通中证100指数增强A,2021-05-10,2.6465,
000042.OF,财通中证100指数增强A,2021-05-11,2.6589,
000042.OF,财通中证100指数增强A,2021-05-12,2.6691,
000042.OF,财通中证100指数增强A,2021-05-13,2.6371,
000042.OF,财通中证100指数增强A,2021-05-14,2.6865,
000042.OF,财通中证100指数增强A,2021-05-17,2.72,
000042.OF,财通中证100指数增强A,2021-05-18,2.7238,
000042.OF,财通中证100指数增强A,2021-05-19,2.7134,
000042.OF,财通中证100指数增强A,2021-05-20,2.7164,
000042.OF,财通中证100指数增强A,2021-05-21,2.7065,
000042.OF,财通中证100指数增强A,2021-05-24,2.7127,
000042.OF,财通中证100指数增强A,2021-05-25,2.7755,
000042.OF,财通中证100指数增强A,2021-05-26,2.7893,
000042.OF,财通中证100指数增强A,2021-05-27,2.7988,
000042.OF,财通中证100指数增强A,2021-05-28,2.7903,
000042.OF,财通中证100指数增强A,2021-05-31,2.7939,
000042.OF,财通中证100指数增强A,2021-06-01,2.7995,
000042.OF,财通中证100指数增强A,2021-06-02,2.7709,
000042.OF,财通中证100指数增强A,2021-06-03,2.7554,
000042.OF,财通中证100指数增强A,2021-06-04,2.7622,
000042.OF,财通中证100指数增强A,2021-06-07,2.7693,
000042.OF,财通中证100指数增强A,2021-06-08,2.7528,
000042.OF,财通中证100指数增强A,2021-06-09,2.7565,
000042.OF,财通中证100指数增强A,2021-06-10,2.7652,
000042.OF,财通中证100指数增强A,2021-06-11,2.7469,
000042.OF,财通中证100指数增强A,2021-06-15,2.7134,
000042.OF,财通中证100指数增强A,2021-06-16,2.6818,
000042.OF,财通中证100指数增强A,2021-06-17,2.692,
000042.OF,财通中证100指数增强A,2021-06-18,2.7027,
000042.OF,财通中证100指数增强A,2021-06-21,2.6964,
000042.OF,财通中证100指数增强A,2021-06-22,2.7244,
000042.OF,财通中证100指数增强A,2021-06-23,2.74,
000042.OF,财通中证100指数增强A,2021-06-24,2.7437,
000042.OF,财通中证100指数增强A,2021-06-25,2.7819,
000042.OF,财通中证100指数增强A,2021-06-28,2.7886,
000042.OF,财通中证100指数增强A,2021-06-29,2.759,
000042.OF,财通中证100指数增强A,2021-06-30,2.7845,
000042.OF,财通中证100指数增强A,2021-07-01,2.7771,
000042.OF,财通中证100指数增强A,2021-07-02,2.7226,
000042.OF,财通中证100指数增强A,2021-07-05,2.7328,
000042.OF,财通中证100指数增强A,2021-07-06,2.7503,
000042.OF,财通中证100指数增强A,2021-07-07,2.7721,
000042.OF,财通中证100指数增强A,2021-07-08,2.7415,
000042.OF,财通中证100指数增强A,2021-07-09,2.7456,
000176.OF,嘉实沪深300增强,2020-10-09,1.8006,
000176.OF,嘉实沪深300增强,2020-10-12,1.8485,
000176.OF,嘉实沪深300增强,2020-10-13,1.8502,
000176.OF,嘉实沪深300增强,2020-10-14,1.8361,
000176.OF,嘉实沪深300增强,2020-10-15,1.8361,
000176.OF,嘉实沪深300增强,2020-10-16,1.8327,
000176.OF,嘉实沪深300增强,2020-10-19,1.8183,
000176.OF,嘉实沪深300增强,2020-10-20,1.83,
000176.OF,嘉实沪深300增强,2020-10-21,1.8289,
000176.OF,嘉实沪深300增强,2020-10-22,1.82,
000176.OF,嘉实沪深300增强,2020-10-23,1.7931,
000176.OF,嘉实沪深300增强,2020-10-26,1.784,
000176.OF,嘉实沪深300增强,2020-10-27,1.7893,
000176.OF,嘉实沪深300增强,2020-10-28,1.8026,
000176.OF,嘉实沪深300增强,2020-10-29,1.821,
000176.OF,嘉实沪深300增强,2020-10-30,1.7892,
000176.OF,嘉实沪深300增强,2020-11-02,1.7952,
000176.OF,嘉实沪深300增强,2020-11-03,1.8153,
000176.OF,嘉实沪深300增强,2020-11-04,1.8315,
000176.OF,嘉实沪深300增强,2020-11-05,1.855,
000176.OF,嘉实沪深300增强,2020-11-06,1.8499,
000176.OF,嘉实沪深300增强,2020-11-09,1.8844,
000176.OF,嘉实沪深300增强,2020-11-10,1.8719,
000176.OF,嘉实沪深300增强,2020-11-11,1.8555,
000176.OF,嘉实沪深300增强,2020-11-12,1.8551,
000176.OF,嘉实沪深300增强,2020-11-13,1.8349,
000176.OF,嘉实沪深300增强,2020-11-16,1.8534,
000176.OF,嘉实沪深300增强,2020-11-17,1.8499,
000176.OF,嘉实沪深300增强,2020-11-18,1.8491,
000176.OF,嘉实沪深300增强,2020-11-19,1.8666,
000176.OF,嘉实沪深300增强,2020-11-20,1.8716,
000176.OF,嘉实沪深300增强,2020-11-23,1.8928,
000176.OF,嘉实沪深300增强,2020-11-24,1.8772,
000176.OF,嘉实沪深300增强,2020-11-25,1.8505,
000176.OF,嘉实沪深300增强,2020-11-26,1.8553,
000176.OF,嘉实沪深300增强,2020-11-27,1.8787,
000176.OF,嘉实沪深300增强,2020-11-30,1.8678,
000176.OF,嘉实沪深300增强,2020-12-01,1.9039,
000176.OF,嘉实沪深300增强,2020-12-02,1.9059,
000176.OF,嘉实沪深300增强,2020-12-03,1.8999,
000176.OF,嘉实沪深300增强,2020-12-04,1.9031,
000176.OF,嘉实沪深300增强,2020-12-07,1.8869,
000176.OF,嘉实沪深300增强,2020-12-08,1.8839,
000176.OF,嘉实沪深300增强,2020-12-09,1.8604,
000176.OF,嘉实沪深300增强,2020-12-10,1.8593,
000176.OF,嘉实沪深300增强,2020-12-11,1.8409,
000176.OF,嘉实沪深300增强,2020-12-14,1.8578,
000176.OF,嘉实沪深300增强,2020-12-15,1.8621,
000176.OF,嘉实沪深300增强,2020-12-16,1.8674,
000176.OF,嘉实沪深300增强,2020-12-17,1.8925,
000176.OF,嘉实沪深300增强,2020-12-18,1.8846,
000176.OF,嘉实沪深300增强,2020-12-21,1.8999,
000176.OF,嘉实沪深300增强,2020-12-22,1.8701,
000176.OF,嘉实沪深300增强,2020-12-23,1.8858,
000176.OF,嘉实沪深300增强,2020-12-24,1.8834,
000176.OF,嘉实沪深300增强,2020-12-25,1.8998,
000176.OF,嘉实沪深300增强,2020-12-28,1.9142,
000176.OF,嘉实沪深300增强,2020-12-29,1.9054,
000176.OF,嘉实沪深300增强,2020-12-30,1.9332,
000176.OF,嘉实沪深300增强,2020-12-31,1.966,
000176.OF,嘉实沪深300增强,2021-01-04,1.9802,
000176.OF,嘉实沪深300增强,2021-01-05,2.0116,
000176.OF,嘉实沪深300增强,2021-01-06,2.0352,
000176.OF,嘉实沪深300增强,2021-01-07,2.0712,
000176.OF,嘉实沪深300增强,2021-01-08,2.0621,
000176.OF,嘉实沪深300增强,2021-01-11,2.0475,
000176.OF,嘉实沪深300增强,2021-01-12,2.1062,
000176.OF,嘉实沪深300增强,2021-01-13,2.0927,
000176.OF,嘉实沪深300增强,2021-01-14,2.05,
000176.OF,嘉实沪深300增强,2021-01-15,2.0567,
000176.OF,嘉实沪深300增强,2021-01-18,2.0848,
000176.OF,嘉实沪深300增强,2021-01-19,2.0575,
000176.OF,嘉实沪深300增强,2021-01-20,2.0744,
000176.OF,嘉实沪深300增强,2021-01-21,2.1101,
000176.OF,嘉实沪深300增强,2021-01-22,2.1162,
000176.OF,嘉实沪深300增强,2021-01-25,2.1416,
000176.OF,嘉实沪深300增强,2021-01-26,2.0976,
000176.OF,嘉实沪深300增强,2021-01-27,2.1069,
000176.OF,嘉实沪深300增强,2021-01-28,2.0541,
000176.OF,嘉实沪深300增强,2021-01-29,2.0457,
000176.OF,嘉实沪深300增强,2021-02-01,2.0778,
000176.OF,嘉实沪深300增强,2021-02-02,2.1117,
000176.OF,嘉实沪深300增强,2021-02-03,2.1067,
000176.OF,嘉实沪深300增强,2021-02-04,2.1042,
000176.OF,嘉实沪深300增强,2021-02-05,2.1155,
000176.OF,嘉实沪深300增强,2021-02-08,2.1465,
000176.OF,嘉实沪深300增强,2021-02-09,2.1886,
000176.OF,嘉实沪深300增强,2021-02-10,2.2256,
000176.OF,嘉实沪深300增强,2021-02-18,2.2062,
000176.OF,嘉实沪深300增强,2021-02-19,2.2051,
000176.OF,嘉实沪深300增强,2021-02-22,2.1314,
000176.OF,嘉实沪深300增强,2021-02-23,2.1275,
000176.OF,嘉实沪深300增强,2021-02-24,2.0766,
000176.OF,嘉实沪深300增强,2021-02-25,2.0902,
000176.OF,嘉实沪深300增强,2021-02-26,2.0436,
000176.OF,嘉实沪深300增强,2021-03-01,2.0713,
000176.OF,嘉实沪深300增强,2021-03-02,2.0522,
000176.OF,嘉实沪深300增强,2021-03-03,2.0968,
000176.OF,嘉实沪深300增强,2021-03-04,2.0344,
000176.OF,嘉实沪深300增强,2021-03-05,2.0224,
000176.OF,嘉实沪深300增强,2021-03-08,1.9557,
000176.OF,嘉实沪深300增强,2021-03-09,1.9092,
000176.OF,嘉实沪深300增强,2021-03-10,1.9262,
000176.OF,嘉实沪深300增强,2021-03-11,1.9752,
000176.OF,嘉实沪深300增强,2021-03-12,1.9826,
000176.OF,嘉实沪深300增强,2021-03-15,1.9389,
000176.OF,嘉实沪深300增强,2021-03-16,1.9602,
000176.OF,嘉实沪深300增强,2021-03-17,1.9664,
000176.OF,嘉实沪深300增强,2021-03-18,1.9845,
000176.OF,嘉实沪深300增强,2021-03-19,1.9329,
000176.OF,嘉实沪深300增强,2021-03-22,1.9488,
000176.OF,嘉实沪深300增强,2021-03-23,1.9319,
000176.OF,嘉实沪深300增强,2021-03-24,1.8983,
000176.OF,嘉实沪深300增强,2021-03-25,1.9027,
000176.OF,嘉实沪深300增强,2021-03-26,1.9461,
000176.OF,嘉实沪深300增强,2021-03-29,1.9519,
000176.OF,嘉实沪深300增强,2021-03-30,1.9696,
000176.OF,嘉实沪深300增强,2021-03-31,1.955,
000176.OF,嘉实沪深300增强,2021-04-01,1.9818,
000176.OF,嘉实沪深300增强,2021-04-02,2.0014,
000176.OF,嘉实沪深300增强,2021-04-06,1.9919,
000176.OF,嘉实沪深300增强,2021-04-07,1.9758,
000176.OF,嘉实沪深300增强,2021-04-08,1.982,
000176.OF,嘉实沪深300增强,2021-04-09,1.9569,
000176.OF,嘉实沪深300增强,2021-04-12,1.9196,
000176.OF,嘉实沪深300增强,2021-04-13,1.9149,
000176.OF,嘉实沪深300增强,2021-04-14,1.9301,
000176.OF,嘉实沪深300增强,2021-04-15,1.9141,
000176.OF,嘉实沪深300增强,2021-04-16,1.919,
000176.OF,嘉实沪深300增强,2021-04-19,1.9635,
000176.OF,嘉实沪深300增强,2021-04-20,1.9681,
000176.OF,嘉实沪深300增强,2021-04-21,1.9768,
000176.OF,嘉实沪深300增强,2021-04-22,1.9746,
000176.OF,嘉实沪深300增强,2021-04-23,1.9967,
000176.OF,嘉实沪深300增强,2021-04-26,1.9775,
000176.OF,嘉实沪深300增强,2021-04-27,1.9919,
000176.OF,嘉实沪深300增强,2021-04-28,2.0036,
000176.OF,嘉实沪深300增强,2021-04-29,2.0199,
000176.OF,嘉实沪深300增强,2021-04-30,2.0072,
000176.OF,嘉实沪深300增强,2021-05-06,1.9884,
000176.OF,嘉实沪深300增强,2021-05-07,1.9569,
000176.OF,嘉实沪深300增强,2021-05-10,1.9466,
000176.OF,嘉实沪深300增强,2021-05-11,1.9519,
000176.OF,嘉实沪深300增强,2021-05-12,1.9579,
000176.OF,嘉实沪深300增强,2021-05-13,1.9394,
000176.OF,嘉实沪深300增强,2021-05-14,1.9821,
000176.OF,嘉实沪深300增强,2021-05-17,2.0183,
000176.OF,嘉实沪深300增强,2021-05-18,2.0188,
000176.OF,嘉实沪深300增强,2021-05-19,2.0091,
000176.OF,嘉实沪深300增强,2021-05-20,2.0203,
000176.OF,嘉实沪深300增强,2021-05-21,1.9965,
000176.OF,嘉实沪深300增强,2021-05-24,2.0101,
000176.OF,嘉实沪深300增强,2021-05-25,2.0776,
000176.OF,嘉实沪深300增强,2021-05-26,2.082,
000176.OF,嘉实沪深300增强,2021-05-27,2.0893,
000176.OF,嘉实沪深300增强,2021-05-28,2.0808,
000176.OF,嘉实沪深300增强,2021-05-31,2.081,
000176.OF,嘉实沪深300增强,2021-06-01,2.0822,
000176.OF,嘉实沪深300增强,2021-06-02,2.0652,
000176.OF,嘉实沪深300增强,2021-06-03,2.0469,
000176.OF,嘉实沪深300增强,2021-06-04,2.0559,
000176.OF,嘉实沪深300增强,2021-06-07,2.0544,
000176.OF,嘉实沪深300增强,2021-06-08,2.0381,
000176.OF,嘉实沪深300增强,2021-06-09,2.0437,
000176.OF,嘉实沪深300增强,2021-06-10,2.0535,
000176.OF,嘉实沪深300增强,2021-06-11,2.0364,
000176.OF,嘉实沪深300增强,2021-06-15,2.0171,
000176.OF,嘉实沪深300增强,2021-06-16,1.9827,
000176.OF,嘉实沪深300增强,2021-06-17,1.9872,
000176.OF,嘉实沪深300增强,2021-06-18,1.988,
000176.OF,嘉实沪深300增强,2021-06-21,1.9828,
000176.OF,嘉实沪深300增强,2021-06-22,1.998,
000176.OF,嘉实沪深300增强,2021-06-23,2.0034,
000176.OF,嘉实沪深300增强,2021-06-24,2.0019,
000176.OF,嘉实沪深300增强,2021-06-25,2.0392,
000176.OF,嘉实沪深300增强,2021-06-28,2.0469,
000176.OF,嘉实沪深300增强,2021-06-29,2.0294,
000176.OF,嘉实沪深300增强,2021-06-30,2.0486,
000176.OF,嘉实沪深300增强,2021-07-01,2.0585,
000176.OF,嘉实沪深300增强,2021-07-02,1.9921,
000176.OF,嘉实沪深300增强,2021-07-05,1.9938,
000176.OF,嘉实沪深300增强,2021-07-06,1.9982,
000176.OF,嘉实沪深300增强,2021-07-07,2.0209,
000176.OF,嘉实沪深300增强,2021-07-08,2.0021,
000176.OF,嘉实沪深300增强,2021-07-09,1.9936,
000311.OF,景顺长城沪深300增强,2020-10-09,3.0633,
000311.OF,景顺长城沪深300增强,2020-10-12,3.1398,
000311.OF,景顺长城沪深300增强,2020-10-13,3.1421,
000311.OF,景顺长城沪深300增强,2020-10-14,3.1268,
000311.OF,景顺长城沪深300增强,2020-10-15,3.1174,
000311.OF,景顺长城沪深300增强,2020-10-16,3.1151,
000311.OF,景顺长城沪深300增强,2020-10-19,3.0857,
000311.OF,景顺长城沪深300增强,2020-10-20,3.1033,
000311.OF,景顺长城沪深300增强,2020-10-21,3.0951,
000311.OF,景顺长城沪深300增强,2020-10-22,3.0763,
000311.OF,景顺长城沪深300增强,2020-10-23,3.0375,
000311.OF,景顺长城沪深300增强,2020-10-26,3.0222,
000311.OF,景顺长城沪深300增强,2020-10-27,3.0222,
000311.OF,景顺长城沪深300增强,2020-10-28,3.0328,
000311.OF,景顺长城沪深300增强,2020-10-29,3.0481,
000311.OF,景顺长城沪深300增强,2020-10-30,2.9904,
000311.OF,景顺长城沪深300增强,2020-11-02,3.0092,
000311.OF,景顺长城沪深300增强,2020-11-03,3.0398,
000311.OF,景顺长城沪深300增强,2020-11-04,3.0563,
000311.OF,景顺长城沪深300增强,2020-11-05,3.0951,
000311.OF,景顺长城沪深300增强,2020-11-06,3.0963,
000311.OF,景顺长城沪深300增强,2020-11-09,3.141,
000311.OF,景顺长城沪深300增强,2020-11-10,3.1245,
000311.OF,景顺长城沪深300增强,2020-11-11,3.1045,
000311.OF,景顺长城沪深300增强,2020-11-12,3.1104,
000311.OF,景顺长城沪深300增强,2020-11-13,3.0739,
000311.OF,景顺长城沪深300增强,2020-11-16,3.0939,
000311.OF,景顺长城沪深300增强,2020-11-17,3.0833,
000311.OF,景顺长城沪深300增强,2020-11-18,3.0869,
000311.OF,景顺长城沪深300增强,2020-11-19,3.1057,
000311.OF,景顺长城沪深300增强,2020-11-20,3.121,
000311.OF,景顺长城沪深300增强,2020-11-23,3.1715,
000311.OF,景顺长城沪深300增强,2020-11-24,3.1515,
000311.OF,景顺长城沪深300增强,2020-11-25,3.1033,
000311.OF,景顺长城沪深300增强,2020-11-26,3.108,
000311.OF,景顺长城沪深300增强,2020-11-27,3.1374,
000311.OF,景顺长城沪深300增强,2020-11-30,3.1174,
000311.OF,景顺长城沪深300增强,2020-12-01,3.1927,
000311.OF,景顺长城沪深300增强,2020-12-02,3.1974,
000311.OF,景顺长城沪深300增强,2020-12-03,3.1892,
000311.OF,景顺长城沪深300增强,2020-12-04,3.1962,
000311.OF,景顺长城沪深300增强,2020-12-07,3.1692,
000311.OF,景顺长城沪深300增强,2020-12-08,3.1574,
000311.OF,景顺长城沪深300增强,2020-12-09,3.1257,
000311.OF,景顺长城沪深300增强,2020-12-10,3.1268,
000311.OF,景顺长城沪深300增强,2020-12-11,3.0939,
000311.OF,景顺长城沪深300增强,2020-12-14,3.1127,
000311.OF,景顺长城沪深300增强,2020-12-15,3.1233,
000311.OF,景顺长城沪深300增强,2020-12-16,3.128,
000311.OF,景顺长城沪深300增强,2020-12-17,3.1762,
000311.OF,景顺长城沪深300增强,2020-12-18,3.1704,
000311.OF,景顺长城沪深300增强,2020-12-21,3.1927,
000311.OF,景顺长城沪深300增强,2020-12-22,3.1351,
000311.OF,景顺长城沪深300增强,2020-12-23,3.1598,
000311.OF,景顺长城沪深300增强,2020-12-24,3.1515,
000311.OF,景顺长城沪深300增强,2020-12-25,3.1833,
000311.OF,景顺长城沪深300增强,2020-12-28,3.2033,
000311.OF,景顺长城沪深300增强,2020-12-29,3.1786,
000311.OF,景顺长城沪深300增强,2020-12-30,3.2327,
000311.OF,景顺长城沪深300增强,2020-12-31,3.2891,
000311.OF,景顺长城沪深300增强,2021-01-04,3.3138,
000311.OF,景顺长城沪深300增强,2021-01-05,3.3491,
000311.OF,景顺长城沪深300增强,2021-01-06,3.3879,
000311.OF,景顺长城沪深300增强,2021-01-07,3.4585,
000311.OF,景顺长城沪深300增强,2021-01-08,3.4502,
000311.OF,景顺长城沪深300增强,2021-01-11,3.4208,
000311.OF,景顺长城沪深300增强,2021-01-12,3.5102,
000311.OF,景顺长城沪深300增强,2021-01-13,3.4961,
000311.OF,景顺长城沪深300增强,2021-01-14,3.4361,
000311.OF,景顺长城沪深300增强,2021-01-15,3.4538,
000311.OF,景顺长城沪深300增强,2021-01-18,3.4937,
000311.OF,景顺长城沪深300增强,2021-01-19,3.4432,
000311.OF,景顺长城沪深300增强,2021-01-20,3.4808,
000311.OF,景顺长城沪深300增强,2021-01-21,3.5443,
000311.OF,景顺长城沪深300增强,2021-01-22,3.5631,
000311.OF,景顺长城沪深300增强,2021-01-25,3.6078,
000311.OF,景顺长城沪深300增强,2021-01-26,3.5267,
000311.OF,景顺长城沪深300增强,2021-01-27,3.5361,
000311.OF,景顺长城沪深300增强,2021-01-28,3.4502,
000311.OF,景顺长城沪深300增强,2021-01-29,3.4302,
000311.OF,景顺长城沪深300增强,2021-02-01,3.4832,
000311.OF,景顺长城沪深300增强,2021-02-02,3.522,
000311.OF,景顺长城沪深300增强,2021-02-03,3.522,
000311.OF,景顺长城沪深300增强,2021-02-04,3.529,
000311.OF,景顺长城沪深300增强,2021-02-05,3.5337,
000311.OF,景顺长城沪深300增强,2021-02-08,3.5819,
000311.OF,景顺长城沪深300增强,2021-02-09,3.656,
000311.OF,景顺长城沪深300增强,2021-02-10,3.7207,
000311.OF,景顺长城沪深300增强,2021-02-18,3.7136,
000311.OF,景顺长城沪深300增强,2021-02-19,3.7113,
000311.OF,景顺长城沪深300增强,2021-02-22,3.5937,
000311.OF,景顺长城沪深300增强,2021-02-23,3.5784,
000311.OF,景顺长城沪深300增强,2021-02-24,3.4937,
000311.OF,景顺长城沪深300增强,2021-02-25,3.5161,
